0: AIKEN; original id: 52
127: ROBISON; original id: 7995
128: RODINO; original id: 8010
129: ROGERS; original id: 8032
130: ROONEY (N. Y.); original id: 8049
131: Rostenkowski, Dan [IL-8]; original id: 8080
132: ROUSH; original id: 8084
133: SAYLOR; original id: 8247
134: SCHNEEBELI; original id: 8268
135: SCOTT (PA.); original id: 8301
136: SHIPLEY; original id: 8474
137: SIKES; original id: 8507
138: SISK; original id: 8549
139: SLACK; original id: 8564
140: Smith, Neal Edward [IA-4]; original id: 8672
141: SPARKMAN; original id: 8764
142: STAGGERS; original id: 8824
143: STEED; original id: 8866
144: STENNIS; original id: 8883
145: STRATTON; original id: 9017
146: STUBBLEFIELD; original id: 9056
147: SULLIVAN; original id: 9072
148: SYMINGTON; original id: 9141
149: TALMADGE; original id: 9174
150: TAYLOR (N. C.); original id: 9230
151: TEAGUE (CALIF.); original id: 9240
152: TEAGUE (TEX.); original id: 9241
153: THOMPSON; original id: 9322
154: Thurmond, Strom [SC]; original id: 9369
155: ULLMAN; original id: 9551
156: VANIK; original id: 9623
157: WAMPLER; original id: 9802
158: Whitten, Jamie L. [MS-1]; original id: 10075
159: WIDNALL; original id: 10091
160: WILLIAMS, H.; original id: 10147
161: WILSON, BOB; original id: 10249
162: Wright, James C., Jr. [TX-12]; original id: 10391
163: Yates, Sidney R. [IL-9]; original id: 10421
164: YOUNG (S. C.); original id: 10446
165: YOUNG, M.; original id: 10450
166: ZABLOCKI; original id: 10463
167: ADDABBO; original id: 10500
168: ANDERSON (ILL.); original id: 10501
169: ASHBROOK; original id: 10502
170: BELL; original id: 10505
171: CAREY; original id: 10508
172: CLANCY; original id: 10510
173: CORMAN; original id: 10511
174: DAVIS (GA.); original id: 10512
175: Dole, Robert J. [KS]; original id: 10513
176: DOMINICK; original id: 10514
177: FINDLEY; original id: 10517
178: Gonzalez, Henry B. [TX-20]; original id: 10520
179: GOODLING; original id: 10521
180: HARSHA; original id: 10525
181: HARVEY; original id: 10526
182: HENDERSON; original id: 10527
183: ICHORD; original id: 10528
184: KING; original id: 10530
185: MARTIN (N. C.); original id: 10534
186: MATHIAS; original id: 10535
187: MOSHER; original id: 10539
188: NEDZI; original id: 10540
189: PIKE; original id: 10545
190: ROBERTS; original id: 10550
191: ROSENTHAL; original id: 10551
192: ROUSSELOT; original id: 10553
193: SCHWEIKER; original id: 10557
194: SHRIVER; original id: 10559
195: ST GERMAIN; original id: 10561
196: STAFFORD; original id: 10562
197: STEPHENS; original id: 10563
198: THOMSON; original id: 10564
199: Udall, Morris K. [AZ-2]; original id: 10566
200: WAGGONNER; original id: 10567
201: ANDREWS (N. D.); original id: 10569
202: BROCK; original id: 10571
203: BROTZMAN; original id: 10572
204: Brown, George E., Jr. [CA-36]; original id: 10573
205: BROYHILL (N. C.); original id: 10574
206: BURTON, PHILLIP; original id: 10577
207: CLAUSEN, DON H.; original id: 10579
208: CLAWSON, DEL; original id: 10580
209: CLEVELAND; original id: 10581
210: DUNCAN (ORE.); original id: 10582
211: Edwards, Don [CA-10]; original id: 10583
212: FRASER; original id: 10585
213: FULTON; original id: 10586
214: FUQUA; original id: 10587
215: Gibbons, Sam [FL-11]; original id: 10588
216: GREEN (PA.); original id: 10591
217: GROVER; original id: 10592
218: GURNEY; original id: 10593
219: HANNA; original id: 10594
220: Hawkins, Augustus F. [CA-29]; original id: 10595
221: Horton, Frank J. [NY-29]; original id: 10596
222: HUTCHINSON; original id: 10597
223: JOHNSON (PA.); original id: 10598
224: LEGGETT; original id: 10599
225: LONG (MD.); original id: 10601
226: LONG (LA.); original id: 10602
227: Matsunaga, Spark M. [HI]; original id: 10605
228: MCCLORY; original id: 10606
229: McDade, Joseph M. [PA-10]; original id: 10607
230: MINISH; original id: 10609
231: MURPHY (N. Y.); original id: 10611
232: PATTEN; original id: 10613
233: Pickle, J. J. [TX-10]; original id: 10614
234: Quillen, James H. (Jimmy) [TN-1]; original id: 10616
235: ROONEY (PA.); original id: 10620
236: Roybal, Edward R. [CA-25]; original id: 10621
237: SKUBITZ; original id: 10625
238: SNYDER; original id: 10626
239: TAFT; original id: 10630
240: TALCOTT; original id: 10631
241: VAN DEERLIN; original id: 10633
242: WYDLER; original id: 10638
243: WYMAN; original id: 10639
244: WILSON, CHARLES H.; original id: 10640
245: Adams, Brock [WA]; original id: 10700
246: Annunzio, Frank [IL-11]; original id: 10703
247: BINGHAM; original id: 10705
248: BUCHANAN; original id: 10706
249: CARTER; original id: 10710
250: CONABLE; original id: 10712
251: Conyers, John, Jr. [MI-14]; original id: 10713
252: CULVER; original id: 10715
253: de la Garza, E. [TX-15]; original id: 10716
254: Dickinson, William L. [AL-2]; original id: 10717
255: DUNCAN (TENN.); original id: 10719
256: EDWARDS (ALA.); original id: 10721
257: ERLENBORN; original id: 10722
258: EVANS (COLO.); original id: 10723
259: Foley, Thomas S. [WA-5]; original id: 10726
260: Ford, William D. [MI-15]; original id: 10727
261: GETTYS; original id: 10728
262: Hamilton, Lee H. [IN-9]; original id: 10732
263: HANLEY; original id: 10733
264: HANSEN, G.; original id: 10734
265: HATHAWAY; original id: 10736
266: HELSTOSKI; original id: 10737
267: HICKS; original id: 10738
268: HOWARD; original id: 10739
269: HUNGATE; original id: 10740
270: Jacobs, Andrew, Jr. [IN-10]; original id: 10742
271: MCEWEN; original id: 10749
272: MEEDS; original id: 10756
273: Mink, Patsy T. [HI-2]; original id: 10757
274: OTTINGER; original id: 10760
275: RONCALIO; original id: 10766
276: SATTERFIELD; original id: 10767
277: Scheuer, James H. [NY-8]; original id: 10768
278: SMITH (N. Y.); original id: 10771
279: STANTON, J. WILLIAM; original id: 10773
280: TUNNEY; original id: 10777
281: VIGORITO; original id: 10778
282: WHITE; original id: 10783
283: WOLFF; original id: 10784
284: WYATT; original id: 10785
285: BROWN (OHIO); original id: 10786
286: Jones, Walter B. [NC-1]; original id: 10788
287: REES; original id: 10790
288: Pryor, David H. [AR]; original id: 10791
289: WALDIE; original id: 10793
290: Vander Jagt, Guy [MI-9]; original id: 10794
291: BAYH; original id: 10800
292: BYRD (VA.); original id: 10802
293: FANNIN; original id: 10804
294: Kennedy, Edward M. [MA]; original id: 10808
295: MCINTYRE; original id: 10810
296: MONDALE; original id: 10813
297: NELSON, G.; original id: 10816
298: PEARSON; original id: 10817
299: Pell, Claiborne [RI]; original id: 10818
300: TOWER; original id: 10823
301: Bevill, Tom [AL-4]; original id: 11000
302: BIESTER; original id: 11001
303: BLACKBURN; original id: 11002
304: BRASCO; original id: 11004
305: BRINKLEY; original id: 11005
306: BROWN (MICH.); original id: 11006
307: BURKE (FLA.); original id: 11007
308: DELLENBACK; original id: 11011
309: ECKHARDT; original id: 11013
310: EILBERG; original id: 11014
311: ESCH; original id: 11015
312: ESHLEMAN; original id: 11016
313: GUDE; original id: 11019
314: Hammerschmidt, John P. [AR-3]; original id: 11020
315: HECKLER; original id: 11021
316: HUNT; original id: 11022
317: KAZEN; original id: 11023
318: KUYKENDALL; original id: 11025
319: KYROS; original id: 11027
320: Lukens, Donald E. [OH-8]; original id: 11028
321: McClure, James A. [ID]; original id: 11029
322: MATHIAS; original id: 11031
323: MAYNE; original id: 11032
324: Miller, Clarence E. [OH-10]; original id: 11034
325: Montgomery, G. V. (Sonny) [MS-3]; original id: 11035
326: Myers, John T. [IN-7]; original id: 11036
327: NICHOLS; original id: 11037
328: PETTIS; original id: 11038
329: RAILSBACK; original id: 11041
330: RARICK; original id: 11042
331: Riegle, Donald W., Jr. [MI]; original id: 11043
332: Roth Jr., William V. [DE]; original id: 11044
333: RUPPE; original id: 11045
334: SANDMAN; original id: 11046
335: SCHERLE; original id: 11047
336: SCOTT (VA.); original id: 11048
337: STEIGER (ARIZ.); original id: 11050
338: STEIGER (WISC.); original id: 11051
339: STUCKEY; original id: 11052
340: WHALEN; original id: 11054
341: WIGGINS; original id: 11055
342: WILLIAMS; original id: 11056
343: WINN; original id: 11057
344: Wylie, Chalmers P. [OH-15]; original id: 11058
345: ZION; original id: 11059
346: ZWACH; original id: 11060
347: TIERNAN; original id: 11061
348: PRICE (TEX.); original id: 11062
349: MCCLOSKEY; original id: 11063
350: PODELL; original id: 11064
351: COLLINS (TEX.); original id: 11066
352: Gaydos, Joseph M. [PA-20]; original id: 11067
353: BAKER; original id: 11200
354: BROOKE; original id: 11201
355: HANSEN; original id: 11202
356: Hatfield, Mark O. [OR]; original id: 11203
357: Hollings, Ernest F. [SC]; original id: 11204
358: PERCY; original id: 11205
359: Alexander, Bill [AR-1]; original id: 12000
360: Anderson, Glenn M. [CA-32]; original id: 12001
361: BEALL; original id: 12002
362: BIAGGI; original id: 12003
363: BURLISON; original id: 12004
364: CAMP; original id: 12006
365: CHAPPELL; original id: 12007
366: CHISHOLM; original id: 12008
367: Clay, William (Bill) [MO-1]; original id: 12009
368: Coughlin, Lawrence [PA-13]; original id: 12010
369: DANIEL, W. C. (DAN); original id: 12011
370: DENNIS; original id: 12012
371: Fish, Hamilton, Jr. [NY-21]; original id: 12013
372: FLOWERS; original id: 12014
373: FREY; original id: 12015
374: HANSEN (IDAHO); original id: 12016
375: HASTINGS; original id: 12017
376: HOGAN; original id: 12018
377: KOCH; original id: 12019
378: LANDGREBE; original id: 12020
379: LUJAN; original id: 12022
380: MANN; original id: 12023
381: MIKVA; original id: 12025
382: MIZELL; original id: 12026
383: PREYER; original id: 12027
384: RUTH; original id: 12028
385: SEBELIUS; original id: 12029
386: Stokes, Louis [OH-21]; original id: 12030
387: SYMINGTON; original id: 12031
388: WEICKER; original id: 12032
389: WHITEHURST; original id: 12033
390: Yatron, Gus [PA-6]; original id: 12035
391: Obey, David R. [WI-7]; original id: 12036
392: GOLDWATER; original id: 12037
393: JONES (TENN.); original id: 12038
394: MELCHER; original id: 12039
395: HARRINGTON; original id: 12040
396: Crane, Philip M. [IL-12]; original id: 12041
397: Roe, Robert A. [NJ-8]; original id: 12042
398: CARNEY; original id: 12044
399: FORSYTHE; original id: 12046
400: STEELE; original id: 12047
401: WARE; original id: 12048
402: ALLEN; original id: 12100
403: BELLMON; original id: 12101
404: COOK; original id: 12102
405: Cranston, Alan [CA]; original id: 12103
406: EAGLETON; original id: 12104
407: GRAVEL; original id: 12105
408: HUGHES; original id: 12106
409: Packwood, Bob [OR]; original id: 12107
410: SAXBE; original id: 12108
411: Stevens, Ted [AK]; original id: 12109
412: ABOUREZK; original id: 13000
413: ABZUG; original id: 13001
414: Archer, Bill [TX-7]; original id: 13002
415: Aspin, Les [WI-1]; original id: 13003
416: BADILLO; original id: 13004
417: BAKER; original id: 13005
418: BERGLAND; original id: 13007
419: BYRON; original id: 13008
420: COTTER; original id: 13009
421: DANIELSON; original id: 13010
422: Dellums, Ronald V. [CA-8]; original id: 13011
423: DENHOLM; original id: 13012
424: DRINAN; original id: 13013
425: DUPONT; original id: 13014
426: Frenzel, Bill [MN-3]; original id: 13015
427: GRASSO; original id: 13016
428: HILLIS; original id: 13018
429: KEATING; original id: 13019
430: KEMP; original id: 13020
431: Lent, Norman F. [NY-4]; original id: 13021
432: MATHIS; original id: 13023
433: Mazzoli, Romano L. [KY-3]; original id: 13024
434: MCCOLLISTER; original id: 13025
435: MCCORMACK; original id: 13026
436: MCKAY; original id: 13027
437: MCKINNEY; original id: 13029
438: METCALFE; original id: 13030
439: MITCHELL (N. Y.); original id: 13031
440: MURPHY (ILL.); original id: 13032
441: PEYSER; original id: 13033
442: POWELL; original id: 13034
443: Rangel, Charles B. [NY-16]; original id: 13035
444: ROBINSON; original id: 13036
445: ROY; original id: 13037
446: RUNNELS; original id: 13038
447: Sarbanes, Paul S. [MD]; original id: 13039
448: SEIBERLING; original id: 13040
449: SHOUP; original id: 13041
450: Spence, Floyd [SC-2]; original id: 13042
451: STANTON, J. WILLIAM; original id: 13043
452: THONE; original id: 13045
453: VEYSEY; original id: 13046
454: Young, C. W. Bill [FL-10]; original id: 13047
455: DAVIS (S. C.); original id: 13048
456: MILLS (MD.); original id: 13049
457: Heinz, John [PA]; original id: 13050
458: MALLARY; original id: 13052
459: BUTLER; original id: 13055
460: Breaux, John B. [LA]; original id: 13056
461: BUCKLEY; original id: 13100
462: CHILES; original id: 13101
463: STEVENSON; original id: 13102
464: ABDNOR; original id: 14000
465: ANDREWS (N. C.); original id: 14001
466: Armstrong, William L. [CO]; original id: 14002
467: BAFALIS; original id: 14003
468: BEARD (TENN.); original id: 14004
469: BOWEN; original id: 14005
470: BRECKINRIDGE; original id: 14006
471: BURGENER; original id: 14007
472: BURKE (CALIF.); original id: 14008
473: Cochran, Thad [MS]; original id: 14009
474: Cohen, William S. [ME]; original id: 14010
475: CONLAN; original id: 14011
476: CRONIN; original id: 14012
477: DANIEL, W. C. (DAN); original id: 14013
478: FROEHLICH; original id: 14014
479: Gilman, Benjamin A. [NY-22]; original id: 14015
480: GINN; original id: 14016
481: GUNTER; original id: 14017
482: GUYER; original id: 14018
483: HANRAHAN; original id: 14019
484: HINSHAW; original id: 14020
485: HOLT; original id: 14021
486: HOLTZMAN; original id: 14022
487: HUBER; original id: 14023
488: HUDNUT; original id: 14024
489: JOHNSON (COLO.); original id: 14025
490: JONES (OKLA.); original id: 14026
491: JORDAN; original id: 14027
492: KETCHUM; original id: 14028
493: Lehman, William [FL-17]; original id: 14029
494: LITTON; original id: 14030
495: Lott, Trent [MS]; original id: 14031
496: MCSPADDEN; original id: 14032
497: Madigan, Edward R. [IL-15]; original id: 14033
498: MARAZITI; original id: 14034
499: MARTIN (NEB.); original id: 14035
500: MEZVINSKY; original id: 14036
501: MILFORD; original id: 14037
502: MITCHELL (N. Y.); original id: 14038
503: Moakley, John Joseph [MA-9]; original id: 14039
504: Moorhead, Carlos J. [CA-22]; original id: 14040
505: O'BRIEN; original id: 14041
506: Owens, Wayne [UT-2]; original id: 14042
507: Parris, Stanford E. (Stan) [VA-8]; original id: 14043
508: PRITCHARD; original id: 14044
509: Regula, Ralph [OH-16]; original id: 14045
510: Rinaldo, Matthew J. [NJ-7]; original id: 14046
511: RONCALLO; original id: 14047
512: Rose, Charlie [NC-7]; original id: 14048
513: RYAN; original id: 14049
514: SARASIN; original id: 14050
515: Schroeder, Patricia [CO-1]; original id: 14051
516: Shuster, Bud [PA-9]; original id: 14052
517: Stark, Fortney Pete [CA-13]; original id: 14053
518: STEELMAN; original id: 14054
519: Studds, Gerry E. [MA-10]; original id: 14055
520: Symms, Steven D. [ID]; original id: 14056
521: TAYLOR (MO.); original id: 14057
522: Thornton, Ray [AR-2]; original id: 14058
523: TOWELL; original id: 14059
524: TREEN; original id: 14060
525: WALSH; original id: 14061
526: Wilson, Charles [TX-2]; original id: 14062
527: YOUNG (ALASKA); original id: 14063
528: YOUNG (TEX.); original id: 14064
529: YOUNG (ILL.); original id: 14065
530: Young, Don [AK-98]; original id: 14066
531: Boggs, Corinne C. (Lindy) [LA-2]; original id: 14067
532: Collins, Cardiss [IL-7]; original id: 14068
533: BAUMAN; original id: 14069
534: Luken, Thomas A. [OH-1]; original id: 14070
535: Lagomarsino, Robert J. [CA-19]; original id: 14071
536: Murtha, John P. [PA-12]; original id: 14072
537: Metzenbaum, Howard M. [OH]; original id: 14073
538: VANDER VEEN; original id: 14074
539: Traxler, Bob [MI-8]; original id: 14075
540: BURTON (CALIF.); original id: 14076
541: LAXALT; original id: 14077
542: BARTLETT; original id: 14100
543: Biden Jr., Joseph R. [DE]; original id: 14101
544: CLARK; original id: 14102
545: Domenici, Pete V. [NM]; original id: 14103
546: HASKELL; original id: 14104
547: Helms, Jesse [NC]; original id: 14105
548: HUDDLESTON; original id: 14106
549: Johnston, J. Bennett [LA]; original id: 14107
550: Nunn, Sam [GA]; original id: 14108
551: AMBRO; original id: 14200
552: AuCoin, Les [OR-1]; original id: 14201
553: BALDUS; original id: 14202
554: Baucus, Max [MT]; original id: 14203
555: BEARD (R. I.); original id: 14204
556: BEDELL; original id: 14205
557: BLANCHARD; original id: 14206
558: BLOUIN; original id: 14207
559: BONKER; original id: 14208
560: BRODHEAD; original id: 14209
561: Carr, Bob [MI-6]; original id: 14210
562: CORNELL; original id: 14211
563: Derrick, Butler C. [SC-3]; original id: 14212
564: Dodd, Christopher J. [CT]; original id: 14213
565: Downey, Thomas J. [NY-2]; original id: 14214
566: FISHER; original id: 14215
567: Early, Joseph D. [MA-3]; original id: 14216
568: EDGAR; original id: 14217
569: EMERY; original id: 14218
570: English, Glenn [OK-6]; original id: 14219
571: EVANS (IND.); original id: 14220
572: FENWICK; original id: 14221
573: FITHIAN; original id: 14222
574: Florio, James J. [NJ-1]; original id: 14223
575: Ford, Harold E. [TN-9]; original id: 14224
576: Gradison, Willis D., Jr. [OH-2]; original id: 14225
577: Grassley, Charles E. [IA]; original id: 14226
578: HAGEDORN; original id: 14227
579: HALL (ILL.); original id: 14228
580: HANNAFORD; original id: 14229
581: Harkin, Tom [IA]; original id: 14230
582: HARRIS; original id: 14231
583: HAYES; original id: 14232
584: Hefner, W. G. (Bill) [NC-8]; original id: 14233
585: HIGHTOWER; original id: 14234
586: HOLLAND; original id: 14235
587: HOWE; original id: 14236
588: Hubbard, Carroll, Jr. [KY-1]; original id: 14237
589: Hughes, William J. [NJ-2]; original id: 14238
590: Hyde, Henry J. [IL-6]; original id: 14239
591: Jeffords, James M. [VT]; original id: 14240
592: JENRETTE; original id: 14241
593: Kasten, Robert W., Jr. [WI]; original id: 14242
594: KELLY; original id: 14243
595: KEYS; original id: 14244
596: KINDNESS; original id: 14245
597: KREBS; original id: 14246
598: Krueger, Robert C. [TX]; original id: 14247
599: LaFalce, John J. [NY-32]; original id: 14248
600: LEVITAS; original id: 14249
601: LLOYD (CALIF.); original id: 14250
602: Lloyd, Marilyn [TN-3]; original id: 14251
603: MCDONALD; original id: 14252
604: McHugh, Matthew F. [NY-28]; original id: 14253
605: MAGUIRE; original id: 14254
606: MEYNER; original id: 14255
607: Miller, George [CA-7]; original id: 14256
608: Mineta, Norman Y. [CA-13]; original id: 14257
609: MOFFETT; original id: 14258
610: MOORE; original id: 14259
611: MOTTL; original id: 14260
612: MYERS, GARY A.; original id: 14261
613: Neal, Stephen L. [NC-5]; original id: 14262
614: NOLAN; original id: 14263
615: Nowak, Henry [NY-33]; original id: 14264
616: Oberstar, James L. [MN-8]; original id: 14265
617: PATTERSON; original id: 14266
618: PATTISON; original id: 14267
619: Pressler, Larry [SD]; original id: 14268
620: RICHMOND; original id: 14269
621: RISENHOOVER; original id: 14270
622: Russo, Martin A. [IL-3]; original id: 14271
623: SANTINI; original id: 14272
624: Schulze, Richard T. [PA-5]; original id: 14273
625: Sharp, Philip R. [IN-2]; original id: 14274
626: Simon, Paul [IL]; original id: 14275
627: Smith, Virginia [NE-3]; original id: 14276
628: Solarz, Stephen J. [NY-13]; original id: 14277
629: SPELLMAN; original id: 14278
630: TSONGAS; original id: 14279
631: Waxman, Henry A. [CA-24]; original id: 14280
632: WEAVER; original id: 14281
633: Wirth, Timothy [CO]; original id: 14282
634: ZEFERETTI; original id: 14283
635: D'AMOURS; original id: 14284
636: FARY; original id: 14285
637: ALLEN; original id: 14286
638: PETTIS, SHIRLEY N.; original id: 14287
639: Goodling, William F. [PA-19]; original id: 14288
640: LUNDINE; original id: 14289
641: Paul, Ron [TX-14]; original id: 14290
642: HALL (TEX.); original id: 14291
643: Bumpers, Dale [AR]; original id: 14300
644: Ford, Wendell H. [KY]; original id: 14302
645: Garn, E. J. (Jake) [UT]; original id: 14303
646: Glenn, John H., Jr. [OH]; original id: 14304
647: HART (COLO.); original id: 14305
648: Leahy, Patrick J. [VT]; original id: 14307
649: MORGAN; original id: 14308
650: STONE; original id: 14309
651: DURKIN; original id: 14310
652: Akaka, Daniel K. [HI-2]; original id: 14400
653: AMMERMAN; original id: 14401
654: Applegate, Douglas [OH-18]; original id: 14402
655: BADHAM; original id: 14403
656: Barnard, Doug, Jr. [GA-10]; original id: 14404
657: Beilenson, Anthony C. [CA-23]; original id: 14405
658: BENJAMIN; original id: 14406
659: Bonior, David E. [MI-12]; original id: 14407
660: CAPUTO; original id: 14408
661: CAVANAUGH; original id: 14409
662: Coleman, Ronald D. [TX-16]; original id: 14410
663: CORCORAN; original id: 14411
664: CORNWELL; original id: 14412
665: Dicks, Norman D. [WA-6]; original id: 14413
666: Dornan, Robert K. [CA-38]; original id: 14414
667: Edwards, Mickey [OK-5]; original id: 14415
668: ERTEL; original id: 14416
669: EVANS (DEL.); original id: 14417
670: EVANS (GA.); original id: 14418
671: Flippo, Ronnie G. [AL-5]; original id: 14419
672: GAMMAGE; original id: 14420
673: Gephardt, Richard A. [MO-3]; original id: 14421
674: Glickman, Dan [KS-4]; original id: 14422
675: Gore, Albert, Jr. [TN]; original id: 14423
676: GUDGER; original id: 14424
677: HEFTEL; original id: 14425
678: HOLLENBECK; original id: 14426
679: Huckaby, Thomas J. (Jerry) [LA-5]; original id: 14427
680: Ireland, Andrew P. [FL-10]; original id: 14428
681: Jenkins, Edgar L. [GA-9]; original id: 14429
682: Kildee, Dale E. [MI-7]; original id: 14430
683: Kostmayer, Peter H. [PA-8]; original id: 14431
684: Leach, James A. [IA-1]; original id: 14432
685: LEFANTE; original id: 14433
686: LEDERER; original id: 14434
687: Markey, Edward J. [MA-7]; original id: 14435
688: MARKS; original id: 14436
689: Marlenee, Ron [MT-2]; original id: 14437
690: MARRIOTT; original id: 14438
691: MATTOX; original id: 14439
692: Mikulski, Barbara A. [MD]; original id: 14440
693: Murphy, Austin J. [PA-22]; original id: 14441
694: MYERS, MICHAEL; original id: 14442
695: Oakar, Mary Rose [OH-20]; original id: 14443
696: Panetta, Leon [CA-16]; original id: 14444
697: Pease, Donald J. [OH-13]; original id: 14445
698: Pursell, Carl D. [MI-2]; original id: 14446
699: QUAYLE; original id: 14447
700: Rahall, Nick J., II [WV-4]; original id: 14448
701: RUDD; original id: 14449
702: SAWYER; original id: 14450
703: Skelton, Ike [MO-4]; original id: 14451
704: STEERS; original id: 14452
705: STOCKMAN; original id: 14453
706: Stump, Bob [AZ-3]; original id: 14454
707: TONRY; original id: 14455
708: TRIBLE; original id: 14456
709: TUCKER; original id: 14457
710: Vento, Bruce F. [MN-4]; original id: 14458
711: Volkmer, Harold L. [MO-9]; original id: 14459
712: Walgren, Doug [PA-18]; original id: 14460
713: Walker, Robert S. [PA-16]; original id: 14461
714: Watkins, Wes [OK-3]; original id: 14462
715: Weiss, Ted [NY-17]; original id: 14463
716: WHITLEY; original id: 14464
717: YOUNG (MO.); original id: 14465
718: Stangeland, Arlan [MN-7]; original id: 14466
719: Fowler, Wyche, Jr. [GA]; original id: 14467
720: CUNNINGHAM; original id: 14468
721: Livingston, Bob [LA-1]; original id: 14469
722: Garcia, Robert [NY-18]; original id: 14470
723: Green, S. William [NY-15]; original id: 14471
724: Chafee, John H. [RI]; original id: 14500
725: Danforth, John C. [MO]; original id: 14501
726: DeConcini, Dennis [AZ]; original id: 14502
727: Hatch, Orrin G. [UT]; original id: 14503
728: HAYAKAWA; original id: 14504
729: Lugar, Richard G. [IN]; original id: 14506
730: Moynihan, Daniel Patrick [NY]; original id: 14508
731: Sasser, Jim [TN]; original id: 14509
732: SCHMITT; original id: 14510
733: Wallop, Malcolm [WY]; original id: 14511
734: ZORINSKY; original id: 14512
735: ANDERSON; original id: 14513
736: HODGES; original id: 14514
737: HATFIELD (MONT.); original id: 14515
738: HUMPHREY (MURIEL); original id: 14516
739: ALLEN (MARYON); original id: 14517
740: ALBOSTA; original id: 14600
